FL: Florida, Lifetables (period 5x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02539	0.02484	0.12	100000	2484	97825	7425612	74.26
1960-1964	1-4	0.00120	0.00477	1.5	97516	466	388899	7327787	75.14
1960-1964	5-9	0.00041	0.00204	2.23	97051	198	484705	6938888	71.50
1960-1964	10-14	0.00034	0.00170	2.68	96853	165	483881	6454182	66.64
1960-1964	15-19	0.00060	0.00300	2.71	96688	290	482776	5970301	61.75
1960-1964	20-24	0.00081	0.00405	2.6	96398	391	481052	5487525	56.93
1960-1964	25-29	0.00108	0.00537	2.66	96007	515	478827	5006473	52.15
1960-1964	30-34	0.00148	0.00739	2.64	95492	706	475792	4527646	47.41
1960-1964	35-39	0.00218	0.01083	2.62	94786	1027	471484	4051854	42.75
1960-1964	40-44	0.00322	0.01597	2.6	93759	1497	465207	3580370	38.19
1960-1964	45-49	0.00464	0.02293	2.65	92262	2115	456332	3115163	33.76
1960-1964	50-54	0.00666	0.03278	2.58	90147	2955	443598	2658832	29.49
1960-1964	55-59	0.00894	0.04380	2.64	87192	3819	426932	2215234	25.41
1960-1964	60-64	0.01259	0.06109	2.59	83373	5093	404596	1788302	21.45
1960-1964	65-69	0.01859	0.08898	2.6	78280	6965	374709	1383706	17.68
1960-1964	70-74	0.02849	0.13347	2.64	71315	9519	334112	1008997	14.15
1960-1964	75-79	0.04640	0.20865	2.59	61796	12894	277878	674884	10.92
1960-1964	80-84	0.07926	0.33229	2.57	48903	16250	205027	397006	8.12
1960-1964	85-89	0.13206	0.49241	2.42	32653	16079	121751	191979	5.88
1960-1964	90-94	0.20736	0.65737	2.22	16574	10895	52544	70229	4.24
1960-1964	95-99	0.30125	0.79618	2.04	5679	4521	15009	17685	3.11
1960-1964	100-104	0.42157	0.89526	1.79	1157	1036	2458	2676	2.31
1960-1964	105-109	0.55233	0.94948	1.54	121	115	208	218	1.80
1960-1964	110+	0.65805	1.00000	1.52	6	6	9	9	1.52
1965-1969	0	0.02265	0.02220	0.12	100000	2220	98038	7483493	74.83
1965-1969	1-4	0.00101	0.00402	1.5	97780	393	390134	7385454	75.53
1965-1969	5-9	0.00042	0.00208	2.32	97386	203	486389	6995320	71.83
1965-1969	10-14	0.00035	0.00176	2.7	97184	171	485527	6508931	66.98
1965-1969	15-19	0.00066	0.00327	2.73	97013	318	484344	6023404	62.09
1965-1969	20-24	0.00081	0.00406	2.58	96695	393	482527	5539060	57.28
