ID: Idaho, Lifetables (period 1x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02202	0.02160	0.11	100000	2160	98077	7152283	71.52
1960-1969	1	0.00184	0.00184	0.5	97840	180	97751	7054206	72.10
1960-1969	2	0.00122	0.00122	0.5	97661	119	97601	6956455	71.23
1960-1969	3	0.00087	0.00087	0.5	97541	85	97499	6858854	70.32
1960-1969	4	0.00070	0.00070	0.5	97456	69	97422	6761355	69.38
1960-1969	5	0.00046	0.00046	0.5	97388	45	97365	6663934	68.43
1960-1969	6	0.00051	0.00051	0.5	97342	50	97317	6566569	67.46
1960-1969	7	0.00048	0.00048	0.5	97292	47	97269	6469251	66.49
1960-1969	8	0.00044	0.00044	0.5	97245	43	97224	6371982	65.52
1960-1969	9	0.00046	0.00046	0.5	97203	45	97180	6274758	64.55
1960-1969	10	0.00041	0.00041	0.5	97158	40	97138	6177578	63.58
1960-1969	11	0.00045	0.00045	0.5	97118	43	97097	6080440	62.61
1960-1969	12	0.00046	0.00046	0.5	97075	45	97052	5983343	61.64
1960-1969	13	0.00046	0.00046	0.5	97030	45	97008	5886291	60.66
1960-1969	14	0.00085	0.00085	0.5	96985	83	96944	5789283	59.69
1960-1969	15	0.00085	0.00085	0.5	96903	83	96861	5692339	58.74
1960-1969	16	0.00124	0.00124	0.5	96820	120	96760	5595478	57.79
1960-1969	17	0.00134	0.00134	0.5	96700	130	96635	5498718	56.86
1960-1969	18	0.00165	0.00165	0.5	96570	159	96491	5402083	55.94
1960-1969	19	0.00160	0.00160	0.5	96412	154	96334	5305592	55.03
1960-1969	20	0.00152	0.00152	0.5	96257	146	96184	5209257	54.12
1960-1969	21	0.00189	0.00188	0.5	96111	181	96021	5113073	53.20
1960-1969	22	0.00172	0.00172	0.5	95930	165	95848	5017053	52.30
1960-1969	23	0.00129	0.00129	0.5	95766	123	95704	4921205	51.39
1960-1969	24	0.00168	0.00167	0.5	95642	160	95562	4825501	50.45
1960-1969	25	0.00139	0.00139	0.5	95482	133	95416	4729939	49.54
1960-1969	26	0.00153	0.00153	0.5	95350	146	95277	4634523	48.61
1960-1969	27	0.00176	0.00176	0.5	95204	167	95120	4539246	47.68
1960-1969	28	0.00147	0.00147	0.5	95037	140	94967	4444126	46.76
1960-1969	29	0.00142	0.00142	0.5	94897	135	94830	4349159	45.83
1960-1969	30	0.00144	0.00144	0.5	94763	137	94694	4254329	44.89
1960-1969	31	0.00154	0.00154	0.5	94626	145	94553	4159634	43.96
1960-1969	32	0.00159	0.00159	0.5	94480	150	94406	4065081	43.03
1960-1969	33	0.00157	0.00156	0.5	94331	148	94257	3970676	42.09
1960-1969	34	0.00170	0.00170	0.5	94183	160	94103	3876419	41.16
1960-1969	35	0.00179	0.00179	0.5	94023	168	93939	3782315	40.23
1960-1969	36	0.00184	0.00184	0.5	93855	172	93769	3688376	39.30
1960-1969	37	0.00197	0.00197	0.5	93683	185	93590	3594608	38.37
1960-1969	38	0.00236	0.00236	0.5	93498	220	93388	3501017	37.44
1960-1969	39	0.00239	0.00239	0.5	93277	223	93166	3407630	36.53
1960-1969	40	0.00249	0.00249	0.5	93055	232	92939	3314464	35.62
1960-1969	41	0.00297	0.00296	0.5	92823	275	92685	3221525	34.71
1960-1969	42	0.00307	0.00307	0.5	92548	284	92406	3128840	33.81
1960-1969	43	0.00340	0.00340	0.5	92264	314	92107	3036434	32.91
1960-1969	44	0.00354	0.00353	0.5	91950	325	91788	2944327	32.02
1960-1969	45	0.00394	0.00393	0.5	91625	360	91445	2852539	31.13
1960-1969	46	0.00391	0.00391	0.5	91265	356	91087	2761094	30.25
1960-1969	47	0.00516	0.00515	0.5	90908	468	90674	2670008	29.37
1960-1969	48	0.00514	0.00512	0.5	90440	463	90209	2579334	28.52
1960-1969	49	0.00573	0.00572	0.5	89977	514	89720	2489125	27.66
1960-1969	50	0.00629	0.00627	0.5	89463	561	89182	2399405	26.82
1960-1969	51	0.00676	0.00674	0.5	88902	599	88602	2310222	25.99
1960-1969	52	0.00747	0.00744	0.5	88303	657	87974	2221620	25.16
1960-1969	53	0.00766	0.00763	0.5	87646	669	87311	2133646	24.34
1960-1969	54	0.00931	0.00927	0.5	86977	806	86574	2046335	23.53
1960-1969	55	0.00889	0.00885	0.5	86171	763	85789	1959761	22.74
1960-1969	56	0.01046	0.01041	0.5	85408	889	84963	1873971	21.94
1960-1969	57	0.01097	0.01091	0.5	84519	922	84058	1789008	21.17
