TX: Texas, Lifetables (period 5x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02810	0.02743	0.13	100000	2743	97604	7047736	70.48
1960-1964	1-4	0.00122	0.00486	1.5	97257	473	387850	6950133	71.46
1960-1964	5-9	0.00048	0.00241	2.3	96785	233	483295	6562283	67.80
1960-1964	10-14	0.00045	0.00227	2.73	96552	219	482261	6078988	62.96
1960-1964	15-19	0.00100	0.00501	2.76	96332	483	480580	5596727	58.10
1960-1964	20-24	0.00135	0.00673	2.55	95850	645	477672	5116147	53.38
1960-1964	25-29	0.00136	0.00677	2.52	95205	645	474426	4638475	48.72
1960-1964	30-34	0.00170	0.00845	2.61	94560	799	470895	4164049	44.04
1960-1964	35-39	0.00245	0.01217	2.67	93762	1141	466149	3693154	39.39
1960-1964	40-44	0.00361	0.01789	2.68	92620	1657	459258	3227005	34.84
1960-1964	45-49	0.00553	0.02729	2.67	90963	2483	449043	2767747	30.43
1960-1964	50-54	0.00862	0.04225	2.66	88481	3738	433646	2318704	26.21
1960-1964	55-59	0.01282	0.06222	2.62	84742	5272	411180	1885058	22.24
1960-1964	60-64	0.01933	0.09243	2.63	79470	7345	379907	1473878	18.55
1960-1964	65-69	0.02893	0.13515	2.57	72125	9748	336926	1093971	15.17
1960-1964	70-74	0.04246	0.19254	2.58	62377	12010	282824	757045	12.14
1960-1964	75-79	0.06289	0.27200	2.52	50367	13700	217827	474221	9.42
1960-1964	80-84	0.10349	0.41074	2.49	36667	15060	145524	256394	6.99
1960-1964	85-89	0.16282	0.56929	2.36	21607	12300	75547	110870	5.13
1960-1964	90-94	0.23927	0.71270	2.16	9306	6633	27720	35323	3.80
1960-1964	95-99	0.33546	0.83003	1.96	2674	2219	6616	7603	2.84
1960-1964	100-104	0.45138	0.91048	1.72	454	414	917	987	2.17
1960-1964	105-109	0.57399	0.95479	1.51	41	39	68	70	1.73
1960-1964	110+	0.67210	1.00000	1.49	2	2	3	3	1.49
1965-1969	0	0.02422	0.02371	0.12	100000	2371	97903	7067297	70.67
1965-1969	1-4	0.00106	0.00422	1.6	97629	412	389526	6969395	71.39
1965-1969	5-9	0.00046	0.00230	2.3	97217	224	485482	6579868	67.68
1965-1969	10-14	0.00043	0.00217	2.73	96993	211	484488	6094386	62.83
1965-1969	15-19	0.00113	0.00561	2.82	96783	543	482728	5609899	57.96
1965-1969	20-24	0.00150	0.00745	2.47	96239	717	479379	5127171	53.28
1965-1969	25-29	0.00151	0.00753	2.53	95522	720	475832	4647792	48.66
1965-1969	30-34	0.00179	0.00891	2.63	94803	845	472010	4171960	44.01
1965-1969	35-39	0.00249	0.01239	2.66	93958	1164	467064	3699949	39.38
1965-1969	40-44	0.00381	0.01886	2.63	92794	1750	459822	3232885	34.84
1965-1969	45-49	0.00566	0.02794	2.65	91043	2544	449250	2773064	30.46
1965-1969	50-54	0.00864	0.04236	2.66	88500	3749	433731	2323814	26.26
1965-1969	55-59	0.01304	0.06325	2.62	84751	5360	411017	1890082	22.30
1965-1969	60-64	0.01906	0.09113	2.61	79391	7235	379650	1479065	18.63
1965-1969	65-69	0.02848	0.13330	2.6	72156	9619	337705	1099416	15.24
1965-1969	70-74	0.04245	0.19250	2.58	62538	12039	283598	761710	12.18
1965-1969	75-79	0.06423	0.27712	2.53	50499	13994	217880	478112	9.47
1965-1969	80-84	0.10044	0.40131	2.5	36505	14650	145858	260232	7.13
1965-1969	85-89	0.15886	0.56022	2.37	21855	12243	77071	114374	5.23
1965-1969	90-94	0.23274	0.70309	2.19	9611	6758	29036	37303	3.88
1965-1969	95-99	0.32836	0.82333	1.97	2854	2350	7156	8268	2.90
1965-1969	100-104	0.44395	0.90677	1.74	504	457	1030	1112	2.21
1965-1969	105-109	0.56732	0.95313	1.52	47	45	79	82	1.75
1965-1969	110+	0.66664	1.00000	1.5	2	2	3	3	1.50
1970-1974	0	0.02079	0.02041	0.11	100000	2041	98175	7126539	71.27
1970-1974	1-4	0.00091	0.00363	1.62	97959	355	390989	7028364	71.75
1970-1974	5-9	0.00042	0.00211	2.38	97603	206	487477	6637375	68.00
1970-1974	10-14	0.00044	0.00218	2.76	97398	212	486511	6149898	63.14
1970-1974	15-19	0.00116	0.00578	2.84	97185	562	484712	5663386	58.27
1970-1974	20-24	0.00151	0.00751	2.51	96623	725	481307	5178674	53.60
1970-1974	25-29	0.00153	0.00761	2.56	95898	730	477708	4697368	48.98
1970-1974	30-34	0.00172	0.00855	2.57	95168	814	473863	4219659	44.34
1970-1974	35-39	0.00242	0.01204	2.64	94354	1136	469087	3745796	39.70
1970-1974	40-44	0.00371	0.01838	2.67	93218	1713	462088	3276709	35.15
1970-1974	45-49	0.00569	0.02807	2.66	91505	2568	451526	2814621	30.76
1970-1974	50-54	0.00857	0.04200	2.63	88937	3735	435843	2363095	26.57
1970-1974	55-59	0.01261	0.06122	2.64	85202	5216	413711	1927251	22.62
1970-1974	60-64	0.01913	0.09150	2.63	79986	7319	382610	1513540	18.92
1970-1974	65-69	0.02715	0.12742	2.59	72667	9259	341062	1130931	15.56
1970-1974	70-74	0.04083	0.18581	2.59	63408	11782	288595	789869	12.46
1970-1974	75-79	0.06229	0.27008	2.54	51626	13943	223842	501274	9.71
1970-1974	80-84	0.09581	0.38606	2.49	37683	14548	151833	277432	7.36
1970-1974	85-89	0.15050	0.53856	2.36	23135	12459	82788	125599	5.43
1970-1974	90-94	0.22341	0.68675	2.2	10675	7331	32816	42811	4.01
1970-1974	95-99	0.31680	0.81178	2	3344	2715	8569	9996	2.99
1970-1974	100-104	0.43112	0.89993	1.76	629	566	1314	1427	2.27
1970-1974	105-109	0.55473	0.94975	1.54	63	60	108	113	1.79
1970-1974	110+	0.65498	1.00000	1.53	3	3	5	5	1.53
1975-1979	0	0.01570	0.01548	0.09	100000	1548	98594	7301464	73.01
1975-1979	1-4	0.00075	0.00300	1.6	98452	295	393099	7202870	73.16
1975-1979	5-9	0.00036	0.00182	2.35	98156	178	490309	6809770	69.38
1975-1979	10-14	0.00037	0.00187	2.77	97978	183	489483	6319461	64.50
1975-1979	15-19	0.00111	0.00552	2.89	97795	540	487838	5829978	59.61
1975-1979	20-24	0.00144	0.00717	2.51	97256	698	484539	5342139	54.93
1975-1979	25-29	0.00140	0.00699	2.48	96558	674	481087	4857600	50.31
1975-1979	30-34	0.00152	0.00758	2.59	95883	727	477668	4376513	45.64
1975-1979	35-39	0.00212	0.01054	2.66	95157	1003	473440	3898845	40.97
1975-1979	40-44	0.00313	0.01554	2.66	94154	1463	467346	3425405	36.38
1975-1979	45-49	0.00495	0.02446	2.68	92690	2267	458190	2958059	31.91
1975-1979	50-54	0.00762	0.03744	2.63	90423	3386	444096	2499869	27.65
1975-1979	55-59	0.01132	0.05511	2.64	87037	4797	423847	2055773	23.62
1975-1979	60-64	0.01694	0.08142	2.63	82241	6696	395334	1631926	19.84
1975-1979	65-69	0.02472	0.11669	2.61	75544	8815	356627	1236591	16.37
1975-1979	70-74	0.03678	0.16889	2.58	66729	11270	306422	879964	13.19
1975-1979	75-79	0.05553	0.24439	2.55	55459	13554	244089	573542	10.34
1975-1979	80-84	0.08730	0.35870	2.51	41905	15031	172171	329453	7.86
1975-1979	85-89	0.13443	0.49819	2.4	26874	13388	99595	157282	5.85
1975-1979	90-94	0.20619	0.65718	2.24	13486	8862	42982	57687	4.28
1975-1979	95-99	0.29471	0.78768	2.05	4623	3642	12356	14705	3.18
1975-1979	100-104	0.40639	0.88530	1.81	982	869	2138	2349	2.39
1975-1979	105-109	0.53013	0.94242	1.58	113	106	200	210	1.87
