MO: Missouri, Lifetables (period 5x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02494	0.02440	0.12	100000	2440	97847	7041932	70.42
1960-1964	1-4	0.00097	0.00386	1.59	97560	377	389335	6944085	71.18
1960-1964	5-9	0.00046	0.00231	2.32	97184	225	485315	6554750	67.45
1960-1964	10-14	0.00043	0.00216	2.71	96959	209	484315	6069436	62.60
1960-1964	15-19	0.00101	0.00505	2.77	96750	488	482658	5585120	57.73
1960-1964	20-24	0.00123	0.00614	2.51	96261	591	479836	5102462	53.01
1960-1964	25-29	0.00127	0.00635	2.54	95670	607	476858	4622626	48.32
1960-1964	30-34	0.00162	0.00806	2.64	95063	766	473505	4145769	43.61
1960-1964	35-39	0.00235	0.01168	2.66	94297	1102	468907	3672264	38.94
1960-1964	40-44	0.00354	0.01756	2.68	93195	1637	462179	3203357	34.37
1960-1964	45-49	0.00546	0.02698	2.67	91558	2470	452046	2741178	29.94
1960-1964	50-54	0.00891	0.04365	2.66	89089	3889	436329	2289132	25.70
1960-1964	55-59	0.01323	0.06413	2.63	85199	5464	413074	1852803	21.75
1960-1964	60-64	0.01997	0.09532	2.62	79736	7600	380597	1439729	18.06
1960-1964	65-69	0.03002	0.13999	2.59	72135	10098	336331	1059133	14.68
1960-1964	70-74	0.04505	0.20317	2.59	62037	12604	279775	722802	11.65
1960-1964	75-79	0.06863	0.29371	2.55	49433	14519	211542	443027	8.96
1960-1964	80-84	0.11170	0.43560	2.47	34914	15209	136153	231485	6.63
1960-1964	85-89	0.17485	0.59413	2.3	19706	11708	66959	95332	4.84
1960-1964	90-94	0.25830	0.74100	2.12	7998	5927	22945	28373	3.55
1960-1964	95-99	0.36743	0.85791	1.89	2072	1777	4837	5428	2.62
1960-1964	100-104	0.49020	0.92813	1.65	294	273	557	592	2.01
1960-1964	105-109	0.61493	0.96414	1.44	21	20	33	34	1.62
1960-1964	110+	0.71160	1.00000	1.41	1	1	1	1	1.41
1965-1969	0	0.02305	0.02259	0.11	100000	2259	97995	7032397	70.32
1965-1969	1-4	0.00093	0.00370	1.61	97741	362	390099	6934403	70.95
1965-1969	5-9	0.00043	0.00213	2.3	97379	207	486336	6544303	67.20
1965-1969	10-14	0.00044	0.00218	2.71	97172	212	485375	6057967	62.34
1965-1969	15-19	0.00118	0.00589	2.8	96960	571	483547	5572592	57.47
1965-1969	20-24	0.00147	0.00731	2.48	96389	705	480173	5089045	52.80
1965-1969	25-29	0.00144	0.00717	2.53	95685	686	476731	4608872	48.17
1965-1969	30-34	0.00174	0.00866	2.65	94999	822	473065	4132142	43.50
1965-1969	35-39	0.00256	0.01271	2.67	94177	1197	468093	3659076	38.85
1965-1969	40-44	0.00373	0.01848	2.66	92979	1718	460868	3190983	34.32
1965-1969	45-49	0.00572	0.02822	2.64	91261	2575	450222	2730115	29.92
1965-1969	50-54	0.00889	0.04353	2.66	88686	3860	434389	2279893	25.71
1965-1969	55-59	0.01351	0.06542	2.62	84826	5550	410924	1845504	21.76
1965-1969	60-64	0.01996	0.09525	2.6	79276	7551	378227	1434581	18.10
1965-1969	65-69	0.02972	0.13874	2.61	71725	9951	334833	1056353	14.73
1965-1969	70-74	0.04495	0.20262	2.57	61774	12516	278451	721520	11.68
1965-1969	75-79	0.06897	0.29479	2.54	49258	14521	210553	443070	8.99
1965-1969	80-84	0.10932	0.42826	2.47	34737	14877	136085	232517	6.69
1965-1969	85-89	0.17306	0.58980	2.3	19860	11714	67684	96431	4.86
1965-1969	90-94	0.25973	0.74324	2.12	8147	6055	23312	28747	3.53
1965-1969	95-99	0.37072	0.86080	1.89	2092	1801	4857	5435	2.60
1965-1969	100-104	0.49673	0.93094	1.64	291	271	546	578	1.98
