AK: Alaska, Lifetables (period 5x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.04443	0.04283	0.16	100000	4283	96420	6616615	66.17
1959	1-4	0.00140	0.00560	1.71	95717	536	381638	6520195	68.12
1959	5-9	0.00097	0.00483	1.95	95181	460	474498	6138557	64.49
1959	10-14	0.00144	0.00716	2.85	94721	678	472147	5664058	59.80
1959	15-19	0.00139	0.00692	2.39	94043	651	468512	5191912	55.21
1959	20-24	0.00168	0.00838	2.74	93392	782	465192	4723399	50.58
1959	25-29	0.00187	0.00930	2.7	92609	862	461063	4258208	45.98
1959	30-34	0.00337	0.01674	2.73	91748	1536	455252	3797144	41.39
1959	35-39	0.00329	0.01631	2.47	90212	1471	447332	3341893	37.04
1959	40-44	0.00458	0.02269	2.83	88740	2013	439343	2894561	32.62
1959	45-49	0.00915	0.04470	2.41	86727	3877	423584	2455217	28.31
1959	50-54	0.01157	0.05650	2.93	82850	4681	404577	2031633	24.52
1959	55-59	0.01425	0.06889	2.57	78169	5385	377776	1627055	20.81
1959	60-64	0.02384	0.11229	2.42	72784	8173	342795	1249279	17.16
1959	65-69	0.03612	0.16520	2.42	64611	10673	295482	906485	14.03
1959	70-74	0.06091	0.26731	2.71	53937	14418	236726	611003	11.33
1959	75-79	0.08113	0.34534	2.85	39519	13648	168209	374277	9.47
1959	80-84	0.11979	0.45171	2.28	25871	11687	97554	206068	7.97
1959	85-89	0.12516	0.46633	2.27	14185	6615	52853	108514	7.65
1959	90-94	0.13072	0.48109	2.26	7570	3642	27860	55661	7.35
1959	95-99	0.13650	0.49599	2.25	3928	1948	14274	27801	7.08
1959	100-104	0.14248	0.51099	2.23	1980	1012	7100	13527	6.83
1959	105-109	0.14869	0.52607	2.22	968	509	3426	6427	6.64
1959	110+	0.15290	1.00000	6.54	459	459	3001	3001	6.54
1960	0	0.04507	0.04344	0.17	100000	4344	96377	6469093	64.69
1960	1-4	0.00226	0.00900	1.51	95656	861	380478	6372716	66.62
1960	5-9	0.00125	0.00625	2.72	94795	592	472628	5992238	63.21
1960	10-14	0.00055	0.00273	1.9	94203	258	470217	5519610	58.59
1960	15-19	0.00110	0.00549	3.16	93946	516	468780	5049393	53.75
1960	20-24	0.00209	0.01039	2.72	93429	971	464933	4580613	49.03
1960	25-29	0.00193	0.00958	2.35	92458	886	459947	4115680	44.51
1960	30-34	0.00272	0.01349	2.48	91573	1235	454753	3655733	39.92
1960	35-39	0.00428	0.02124	2.99	90338	1918	447830	3200980	35.43
1960	40-44	0.00508	0.02509	2.46	88419	2218	436461	2753150	31.14
1960	45-49	0.00985	0.04794	2.23	86201	4133	419537	2316689	26.88
1960	50-54	0.01477	0.07144	2.72	82068	5863	396974	1897152	23.12
1960	55-59	0.01713	0.08204	2.43	76205	6252	364973	1500179	19.69
1960	60-64	0.02685	0.12607	2.59	69953	8819	328495	1135206	16.23
1960	65-69	0.03962	0.17972	2.42	61134	10987	277340	806711	13.20
1960	70-74	0.05727	0.25271	2.68	50147	12673	221285	529370	10.56
1960	75-79	0.08217	0.34653	2.74	37475	12986	158043	308086	8.22
1960	80-84	0.15815	0.54820	2.2	24489	13425	84886	150043	6.13
1960	85-89	0.16490	0.56337	2.19	11064	6233	37799	65157	5.89
1960	90-94	0.17188	0.57853	2.18	4831	2795	16260	27359	5.66
1960	95-99	0.17910	0.59365	2.16	2036	1209	6749	11099	5.45
1960	100-104	0.18655	0.60870	2.15	827	504	2700	4350	5.26
1960	105-109	0.19423	0.62366	2.13	324	202	1040	1650	5.10
1960	110+	0.19957	1.00000	5.01	122	122	611	611	5.01
1961	0	0.04883	0.04694	0.18	100000	4694	96132	6536277	65.36
1961	1-4	0.00223	0.00886	1.55	95306	844	379160	6440145	67.57
1961	5-9	0.00101	0.00503	2.22	94462	475	470987	6060985	64.16
1961	10-14	0.00114	0.00569	2.51	93986	534	468603	5589998	59.48
1961	15-19	0.00131	0.00654	3.22	93452	611	466175	5121395	54.80
1961	20-24	0.00172	0.00857	2.35	92841	796	462100	4655221	50.14
1961	25-29	0.00220	0.01092	2.79	92045	1005	458009	4193120	45.55
1961	30-34	0.00257	0.01275	2.5	91040	1161	452298	3735112	41.03
1961	35-39	0.00384	0.01904	2.58	89879	1711	445259	3282814	36.52
