NV: Nevada, Lifetables (period 5x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02249	0.02205	0.12	100000	2205	98050	7306867	73.07
1960-1969	1-4	0.00116	0.00462	1.67	97795	452	390125	7208817	73.71
1960-1969	5-9	0.00045	0.00226	2.27	97343	220	486114	6818691	70.05
1960-1969	10-14	0.00032	0.00160	2.51	97123	156	485227	6332578	65.20
1960-1969	15-19	0.00079	0.00393	2.66	96967	381	483945	5847350	60.30
1960-1969	20-24	0.00114	0.00569	2.38	96586	549	481489	5363406	55.53
1960-1969	25-29	0.00123	0.00611	2.42	96037	586	478668	4881916	50.83
1960-1969	30-34	0.00186	0.00925	2.58	95450	883	475115	4403249	46.13
1960-1969	35-39	0.00237	0.01179	2.7	94567	1115	470274	3928133	41.54
1960-1969	40-44	0.00329	0.01632	2.54	93452	1525	463514	3457860	37.00
1960-1969	45-49	0.00528	0.02608	2.82	91927	2398	454399	2994346	32.57
1960-1969	50-54	0.00708	0.03480	2.58	89529	3116	440106	2539947	28.37
1960-1969	55-59	0.01027	0.05010	2.57	86413	4329	421538	2099841	24.30
1960-1969	60-64	0.01498	0.07224	2.55	82084	5929	395887	1678304	20.45
1960-1969	65-69	0.02141	0.10192	2.64	76155	7761	362474	1282417	16.84
1960-1969	70-74	0.03478	0.16056	2.61	68393	10981	315690	919943	13.45
1960-1969	75-79	0.05407	0.23871	2.55	57412	13705	253439	604252	10.52
1960-1969	80-84	0.07928	0.33217	2.56	43707	14518	183131	350813	8.03
1960-1969	85-89	0.13431	0.49944	2.43	29189	14578	108541	167681	5.74
1960-1969	90-94	0.21720	0.67916	2.24	14611	9923	45687	59140	4.05
1960-1969	95-99	0.33011	0.82755	1.99	4688	3879	11752	13453	2.87
1960-1969	100-104	0.46610	0.91930	1.71	808	743	1594	1701	2.10
1960-1969	105-109	0.60822	0.96357	1.46	65	63	103	107	1.63
1960-1969	110+	0.71857	1.00000	1.39	2	2	3	3	1.39
1970-1979	0	0.01527	0.01506	0.1	100000	1506	98638	7584708	75.85
1970-1979	1-4	0.00065	0.00259	1.47	98494	255	393331	7486070	76.01
1970-1979	5-9	0.00040	0.00198	1.96	98239	194	490602	7092740	72.20
