IN: Indiana, Lifetables (period 5x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02072	0.02034	0.11	100000	2034	98192	7386219	73.86
1960-1964	1-4	0.00088	0.00350	1.55	97966	343	391025	7288027	74.39
1960-1964	5-9	0.00038	0.00188	2.25	97623	184	487610	6897002	70.65
1960-1964	10-14	0.00035	0.00175	2.79	97439	171	486818	6409393	65.78
1960-1964	15-19	0.00053	0.00266	2.65	97268	258	485733	5922575	60.89
1960-1964	20-24	0.00072	0.00359	2.57	97010	348	484201	5436842	56.04
1960-1964	25-29	0.00084	0.00421	2.65	96661	407	482353	4952642	51.24
1960-1964	30-34	0.00116	0.00577	2.67	96255	556	479982	4470288	46.44
1960-1964	35-39	0.00165	0.00822	2.66	95699	787	476654	3990306	41.70
1960-1964	40-44	0.00249	0.01238	2.65	94912	1175	471804	3513652	37.02
1960-1964	45-49	0.00391	0.01938	2.66	93737	1817	464443	3041848	32.45
1960-1964	50-54	0.00605	0.02983	2.65	91921	2742	453167	2577404	28.04
1960-1964	55-59	0.00890	0.04359	2.66	89179	3887	436808	2124237	23.82
1960-1964	60-64	0.01410	0.06825	2.68	85291	5821	412961	1687430	19.78
1960-1964	65-69	0.02170	0.10320	2.64	79470	8202	377992	1274468	16.04
1960-1964	70-74	0.03608	0.16618	2.63	71269	11843	328286	896476	12.58
1960-1964	75-79	0.05979	0.26119	2.58	59425	15522	259623	568190	9.56
1960-1964	80-84	0.09922	0.39861	2.53	43904	17501	176375	308568	7.03
1960-1964	85-89	0.16452	0.57374	2.36	26403	15149	92076	132192	5.01
1960-1964	90-94	0.25563	0.73715	2.13	11255	8296	32454	40117	3.56
1960-1964	95-99	0.37135	0.86236	1.89	2958	2551	6870	7662	2.59
1960-1964	100-104	0.50658	0.93530	1.63	407	381	752	793	1.95
1960-1964	105-109	0.64193	0.96963	1.4	26	26	40	41	1.55
1960-1964	110+	0.74437	1.00000	1.34	1	1	1	1	1.34
1965-1969	0	0.01929	0.01896	0.11	100000	1896	98307	7416882	74.17
1965-1969	1-4	0.00085	0.00338	1.64	98104	332	391635	7318575	74.60
1965-1969	5-9	0.00039	0.00197	2.27	97772	193	488336	6926941	70.85
1965-1969	10-14	0.00030	0.00149	2.53	97580	145	487541	6438605	65.98
1965-1969	15-19	0.00061	0.00307	2.75	97435	299	486501	5951064	61.08
1965-1969	20-24	0.00072	0.00358	2.46	97136	348	484796	5464563	56.26
1965-1969	25-29	0.00088	0.00438	2.72	96788	424	482971	4979767	51.45
1965-1969	30-34	0.00114	0.00570	2.71	96364	549	480559	4496796	46.66
1965-1969	35-39	0.00173	0.00863	2.75	95815	826	477212	4016237	41.92
1965-1969	40-44	0.00265	0.01317	2.72	94988	1251	472091	3539025	37.26
1965-1969	45-49	0.00398	0.01972	2.65	93737	1849	464337	3066934	32.72
1965-1969	50-54	0.00591	0.02912	2.64	91888	2676	453139	2602597	28.32
1965-1969	55-59	0.00874	0.04280	2.62	89212	3818	436968	2149458	24.09
1965-1969	60-64	0.01347	0.06523	2.6	85394	5571	413608	1712490	20.05
1965-1969	65-69	0.02104	0.10019	2.63	79824	7998	380163	1298881	16.27
1965-1969	70-74	0.03499	0.16159	2.63	71826	11606	331657	918718	12.79
1965-1969	75-79	0.05771	0.25348	2.6	60220	15264	264479	587062	9.75
1965-1969	80-84	0.09690	0.39055	2.52	44955	17557	181186	322583	7.18
1965-1969	85-89	0.15793	0.55855	2.38	27398	15303	96897	141396	5.16
1965-1969	90-94	0.24584	0.72427	2.16	12095	8760	35632	44500	3.68
1965-1969	95-99	0.36068	0.85377	1.92	3335	2847	7894	8867	2.66
1965-1969	100-104	0.49356	0.93030	1.65	488	454	919	973	2.00
1965-1969	105-109	0.62833	0.96717	1.42	34	33	52	54	1.58
1965-1969	110+	0.73153	1.00000	1.37	1	1	2	2	1.37
1970-1974	0	0.01601	0.01578	0.1	100000	1578	98576	7512861	75.13
1970-1974	1-4	0.00074	0.00294	1.62	98422	290	393000	7414285	75.33
1970-1974	5-9	0.00033	0.00167	2.15	98132	164	490195	7021285	71.55
1970-1974	10-14	0.00030	0.00152	2.69	97968	149	489499	6531090	66.67
1970-1974	15-19	0.00059	0.00294	2.72	97820	288	488442	6041591	61.76
1970-1974	20-24	0.00065	0.00324	2.52	97532	316	486876	5553148	56.94
1970-1974	25-29	0.00079	0.00396	2.6	97216	385	485156	5066272	52.11
1970-1974	30-34	0.00101	0.00502	2.63	96831	486	483002	4581116	47.31
1970-1974	35-39	0.00164	0.00815	2.64	96345	785	479876	4098114	42.54
1970-1974	40-44	0.00245	0.01217	2.64	95560	1163	475051	3618238	37.86
1970-1974	45-49	0.00398	0.01972	2.66	94397	1862	467622	3143187	33.30
1970-1974	50-54	0.00553	0.02730	2.65	92536	2526	456749	2675565	28.91
1970-1974	55-59	0.00846	0.04149	2.63	90009	3735	441198	2218816	24.65
1970-1974	60-64	0.01318	0.06392	2.67	86275	5515	418532	1777618	20.60
1970-1974	65-69	0.02054	0.09795	2.64	80760	7910	385154	1359086	16.83
1970-1974	70-74	0.03205	0.14896	2.64	72850	10852	338600	973932	13.37
1970-1974	75-79	0.05386	0.23846	2.6	61998	14784	274475	635332	10.25
1970-1974	80-84	0.08857	0.36374	2.54	47214	17173	193886	360857	7.64
1970-1974	85-89	0.14291	0.52101	2.4	30040	15651	109523	166970	5.56
1970-1974	90-94	0.22337	0.68751	2.2	14389	9892	44287	57448	3.99
1970-1974	95-99	0.32375	0.81987	1.99	4496	3687	11387	13161	2.93
1970-1974	100-104	0.44696	0.90903	1.74	810	736	1647	1774	2.19
1970-1974	105-109	0.57758	0.95611	1.5	74	70	122	127	1.72
1970-1974	110+	0.68147	1.00000	1.47	3	3	5	5	1.47
1975-1979	0	0.01219	0.01206	0.09	100000	1206	98899	7685244	76.85
1975-1979	1-4	0.00061	0.00242	1.73	98794	239	394635	7586345	76.79
1975-1979	5-9	0.00028	0.00139	2.25	98555	137	492399	7191710	72.97
1975-1979	10-14	0.00026	0.00131	2.73	98418	129	491800	6699311	68.07
1975-1979	15-19	0.00057	0.00286	2.72	98290	281	490808	6207511	63.16
1975-1979	20-24	0.00058	0.00290	2.47	98009	285	489323	5716703	58.33
1975-1979	25-29	0.00065	0.00323	2.54	97724	315	487845	5227380	53.49
1975-1979	30-34	0.00089	0.00445	2.72	97409	433	486056	4739535	48.66
1975-1979	35-39	0.00132	0.00657	2.74	96975	638	483438	4253479	43.86
1975-1979	40-44	0.00216	0.01077	2.74	96338	1038	479346	3770041	39.13
1975-1979	45-49	0.00325	0.01611	2.72	95300	1535	472995	3290696	34.53
1975-1979	50-54	0.00530	0.02615	2.65	93765	2452	463058	2817700	30.05
1975-1979	55-59	0.00758	0.03724	2.61	91313	3400	448442	2354643	25.79
1975-1979	60-64	0.01190	0.05787	2.64	87913	5087	427576	1906201	21.68
1975-1979	65-69	0.01816	0.08706	2.64	82825	7211	397112	1478626	17.85
1975-1979	70-74	0.02815	0.13191	2.62	75614	9974	354302	1081513	14.30
1975-1979	75-79	0.04603	0.20730	2.61	65641	13607	295639	727211	11.08
1975-1979	80-84	0.07691	0.32387	2.56	52033	16852	219113	431572	8.29
1975-1979	85-89	0.12635	0.47700	2.43	35181	16781	132811	212458	6.04
1975-1979	90-94	0.20078	0.64918	2.28	18400	11945	59494	79647	4.33
1975-1979	95-99	0.30004	0.79519	2.05	6455	5133	17108	20153	3.12
1975-1979	100-104	0.42298	0.89637	1.79	1322	1185	2802	3046	2.30
1975-1979	105-109	0.55664	0.95086	1.54	137	130	234	244	1.78
1975-1979	110+	0.66447	1.00000	1.5	7	7	10	10	1.50
1980-1984	0	0.01007	0.00998	0.08	100000	998	99083	7782306	77.82
1980-1984	1-4	0.00052	0.00209	1.61	99002	207	395516	7683222	77.61
1980-1984	5-9	0.00023	0.00113	2.34	98796	112	493681	7287706	73.77
1980-1984	10-14	0.00020	0.00098	2.45	98684	96	493174	6794025	68.85
1980-1984	15-19	0.00045	0.00222	2.68	98587	219	492429	6300852	63.91
1980-1984	20-24	0.00055	0.00275	2.47	98368	270	491158	5808422	59.05
1980-1984	25-29	0.00055	0.00276	2.58	98098	271	489836	5317264	54.20
1980-1984	30-34	0.00071	0.00356	2.71	97827	348	488338	4827428	49.35
1980-1984	35-39	0.00103	0.00516	2.68	97479	503	486228	4339090	44.51
1980-1984	40-44	0.00175	0.00874	2.68	96976	847	482913	3852862	39.73
1980-1984	45-49	0.00305	0.01516	2.69	96129	1458	477278	3369948	35.06
1980-1984	50-54	0.00473	0.02337	2.61	94671	2213	468073	2892670	30.55
1980-1984	55-59	0.00733	0.03604	2.7	92459	3333	454629	2424597	26.22
1980-1984	60-64	0.01186	0.05771	2.65	89126	5144	433541	1969969	22.10
1980-1984	65-69	0.01740	0.08354	2.63	83982	7016	403276	1536428	18.29
1980-1984	70-74	0.02730	0.12816	2.62	76967	9864	361362	1133152	14.72
1980-1984	75-79	0.04306	0.19519	2.61	67103	13098	304193	771790	11.50
1980-1984	80-84	0.07079	0.30224	2.58	54004	16322	230589	467597	8.66
1980-1984	85-89	0.11898	0.45603	2.44	37682	17184	144436	237008	6.29
1980-1984	90-94	0.18948	0.62759	2.31	20498	12864	67893	92572	4.52
1980-1984	95-99	0.28773	0.78110	2.07	7634	5963	20723	24679	3.23
