DC: Washington DC, Lifetables (period 5x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.04850	0.04664	0.18	100000	4664	96153	6237594	62.38
1959	1-4	0.00147	0.00585	1.72	95336	558	380075	6141440	64.42
1959	5-9	0.00054	0.00271	1.97	94778	257	473114	5761366	60.79
1959	10-14	0.00064	0.00319	2.36	94521	302	471812	5288252	55.95
1959	15-19	0.00094	0.00471	3.16	94220	443	470283	4816440	51.12
1959	20-24	0.00122	0.00609	2.49	93776	571	467450	4346157	46.35
1959	25-29	0.00193	0.00962	2.84	93205	897	464090	3878708	41.61
1959	30-34	0.00303	0.01507	2.74	92308	1391	458401	3414617	36.99
1959	35-39	0.00560	0.02766	2.74	90918	2515	448905	2956216	32.52
1959	40-44	0.00832	0.04080	2.63	88403	3606	433472	2507312	28.36
1959	45-49	0.01285	0.06237	2.65	84796	5288	411552	2073840	24.46
1959	50-54	0.01783	0.08541	2.56	79508	6791	380947	1662289	20.91
1959	55-59	0.02545	0.12009	2.66	72717	8733	343165	1281342	17.62
1959	60-64	0.03489	0.16150	2.7	63984	10334	296174	938177	14.66
1959	65-69	0.04878	0.21739	2.5	53651	11663	239073	642003	11.97
1959	70-74	0.06271	0.27034	2.45	41988	11351	180999	402929	9.60
1959	75-79	0.10579	0.42006	2.55	30637	12869	121654	221930	7.24
1959	80-84	0.14989	0.53470	2.32	17768	9500	63383	100276	5.64
1959	85-89	0.20122	0.64431	2.21	8267	5327	26471	36893	4.46
1959	90-94	0.26435	0.74538	2.07	2941	2192	8291	10422	3.54
1959	95-99	0.33860	0.82898	1.92	749	621	1833	2131	2.85
1959	100-104	0.42161	0.89097	1.76	128	114	271	298	2.33
1959	105-109	0.50938	0.93260	1.6	14	13	26	27	1.95
1959	110+	0.58073	1.00000	1.72	1	1	2	2	1.72
1960	0	0.04444	0.04285	0.16	100000	4285	96419	6256173	62.56
1960	1-4	0.00138	0.00551	1.3	95715	528	381434	6159754	64.36
1960	5-9	0.00100	0.00499	2.47	95187	475	474733	5778320	60.70
1960	10-14	0.00085	0.00426	2.89	94712	403	472708	5303587	56.00
1960	15-19	0.00117	0.00582	2.59	94309	549	470221	4830880	51.22
1960	20-24	0.00156	0.00779	2.16	93760	730	466724	4360659	46.51
1960	25-29	0.00193	0.00959	2.49	93030	892	462912	3893934	41.86
1960	30-34	0.00255	0.01265	2.76	92138	1166	458082	3431022	37.24
1960	35-39	0.00482	0.02383	2.67	90972	2168	449811	2972940	32.68
1960	40-44	0.00840	0.04117	2.58	88804	3656	435159	2523129	28.41
1960	45-49	0.01311	0.06370	2.79	85148	5424	413782	2087970	24.52
1960	50-54	0.01808	0.08650	2.49	79725	6896	381348	1674187	21.00
1960	55-59	0.02701	0.12701	2.66	72829	9250	342511	1292839	17.75
1960	60-64	0.03320	0.15427	2.71	63578	9808	295431	950329	14.95
1960	65-69	0.04778	0.21405	2.57	53770	11509	240901	654897	12.18
1960	70-74	0.06614	0.28178	2.38	42261	11908	180048	413996	9.80
1960	75-79	0.09525	0.38402	2.48	30353	11656	122366	233948	7.71
1960	80-84	0.13673	0.50255	2.36	18697	9396	68720	111582	5.97
1960	85-89	0.19126	0.62626	2.24	9301	5825	30454	42862	4.61
1960	90-94	0.26052	0.74139	2.09	3476	2577	9892	12408	3.57
1960	95-99	0.34376	0.83492	1.92	899	751	2183	2516	2.80
1960	100-104	0.43769	0.90115	1.74	148	134	306	333	2.24
1960	105-109	0.53648	0.94267	1.56	15	14	26	27	1.85
1960	110+	0.61642	1.00000	1.62	1	1	1	1	1.62
1961	0	0.04189	0.04047	0.16	100000	4047	96591	6288693	62.89
1961	1-4	0.00118	0.00469	1.7	95953	450	382777	6192103	64.53
1961	5-9	0.00036	0.00179	2.12	95503	171	477023	5809326	60.83
1961	10-14	0.00025	0.00126	3.42	95332	120	476471	5332303	55.93
1961	15-19	0.00125	0.00622	2.66	95212	592	474673	4855832	51.00
1961	20-24	0.00148	0.00740	2.61	94620	700	471424	4381159	46.30
1961	25-29	0.00206	0.01026	2.59	93920	964	467281	3909735	41.63
1961	30-34	0.00291	0.01443	2.59	92956	1341	461546	3442454	37.03
1961	35-39	0.00609	0.03001	2.64	91615	2749	451574	2980908	32.54
1961	40-44	0.00721	0.03541	2.57	88865	3147	436673	2529334	28.46
1961	45-49	0.01318	0.06391	2.61	85719	5478	415524	2092661	24.41
1961	50-54	0.01857	0.08890	2.61	80241	7133	384153	1677137	20.90
1961	55-59	0.02734	0.12829	2.6	73107	9379	343010	1292983	17.69
1961	60-64	0.03482	0.16027	2.53	63728	10214	293377	949973	14.91
1961	65-69	0.04964	0.22015	2.43	53514	11781	237350	656596	12.27
